"","ctrl1a_data.Year","ctrl1a_data...2.","trt1a_data...2.","trt2a_data...2.","trt1b_data...2.","trt2b_data...2.","ctrl1a_ctrl1a","ctrl1a_trt1a","ctrl1a_trt2a","ctrl1a_trt1b","ctrl1a_trt2b"
"82",1931,2707.953262,2705.473295,2701.239007,2705.473295,2701.239007,0,-2.47996700000022,-6.71425499999987,-2.47996700000022,-6.71425499999987
"83",1932,2707.594609,2705.072016,2700.783407,2705.072016,2700.783407,0,-2.52259300000014,-6.81120200000032,-2.52259300000014,-6.81120200000032
"84",1933,2707.313207,2704.753309,2700.41675,2704.753309,2700.41675,0,-2.55989799999998,-6.89645700000028,-2.55989799999998,-6.89645700000028
"85",1934,2707.077426,2704.480761,2700.105041,2704.480761,2700.105041,0,-2.59666500000003,-6.97238500000003,-2.59666500000003,-6.97238500000003
"86",1935,2707.09416,2704.457947,2700.040697,2704.457947,2700.040697,0,-2.63621300000023,-7.05346300000019,-2.63621300000023,-7.05346300000019
"87",1936,2707.044194,2704.366939,2699.90161,2704.366939,2699.90161,0,-2.67725500000006,-7.14258400000017,-2.67725500000006,-7.14258400000017
"88",1937,2706.994314,2704.270385,2699.75691,2704.270385,2699.75691,0,-2.72392900000023,-7.23740399999997,-2.72392900000023,-7.23740399999997
"89",1938,2706.862864,2704.099315,2699.538445,2704.099315,2699.538445,0,-2.76354900000024,-7.32441900000003,-2.76354900000024,-7.32441900000003
"90",1939,2706.642964,2703.843175,2699.23313,2703.843175,2699.23313,0,-2.79978900000015,-7.40983400000005,-2.79978900000015,-7.40983400000005
"91",1940,2706.56269,2703.726309,2699.070097,2703.726309,2699.070097,0,-2.83638100000007,-7.4925930000004,-2.83638100000007,-7.4925930000004
"92",1941,2706.618361,2703.738996,2699.034025,2703.738996,2699.034025,0,-2.87936499999978,-7.58433599999989,-2.87936499999978,-7.58433599999989
"93",1942,2706.551585,2703.629866,2698.872907,2703.629866,2698.872907,0,-2.92171899999994,-7.67867800000022,-2.92171899999994,-7.67867800000022
"94",1943,2706.366172,2703.404312,2698.593952,2703.404312,2698.593952,0,-2.96185999999989,-7.77221999999983,-2.96185999999989,-7.77221999999983
"95",1944,2706.206327,2703.201919,2698.337273,2703.201919,2698.337273,0,-3.00440799999978,-7.86905399999978,-3.00440799999978,-7.86905399999978
"96",1945,2706.062626,2703.021427,2698.120892,2703.021427,2698.120892,0,-3.04119899999978,-7.941734,-3.04119899999978,-7.941734
"97",1946,2705.790258,2702.707131,2697.759613,2702.707131,2697.759613,0,-3.08312699999988,-8.03064499999982,-3.08312699999988,-8.03064499999982
"98",1947,2705.690166,2702.569893,2697.572763,2702.569893,2697.572763,0,-3.120273,-8.11740299999974,-3.120273,-8.11740299999974
"99",1948,2705.510797,2702.349084,2697.304932,2702.349084,2697.304932,0,-3.16171299999996,-8.2058649999999,-3.16171299999996,-8.2058649999999
"100",1949,2705.476393,2702.278759,2697.184993,2702.278759,2697.184993,0,-3.19763400000011,-8.29140000000007,-3.19763400000011,-8.29140000000007
"101",1950,2705.224526,2701.987313,2696.853535,2701.987313,2696.853535,0,-3.23721299999988,-8.37099099999978,-3.23721299999988,-8.37099099999978
"102",1951,2705.186839,2701.910061,2696.724067,2701.910061,2696.724067,0,-3.27677799999992,-8.46277199999986,-3.27677799999992,-8.46277199999986
"103",1952,2705.272064,2701.955827,2696.718098,2701.955827,2696.718098,0,-3.31623699999955,-8.55396599999995,-3.31623699999955,-8.55396599999995
"104",1953,2705.255339,2701.890185,2696.586228,2701.890185,2696.586228,0,-3.36515399999962,-8.6691109999997,-3.36515399999962,-8.6691109999997
"105",1954,2705.108366,2701.696053,2696.325105,2701.696053,2696.325105,0,-3.41231299999981,-8.78326100000004,-3.41231299999981,-8.78326100000004
"106",1955,2705.006293,2701.544426,2696.111484,2701.544426,2696.111484,0,-3.46186699999998,-8.8948089999999,-3.46186699999998,-8.8948089999999
"107",1956,2704.93595,2701.426099,2695.917611,2701.426099,2695.917611,0,-3.50985100000025,-9.0183390000002,-3.50985100000025,-9.0183390000002
"108",1957,2704.903573,2701.345404,2695.770047,2701.345404,2695.770047,0,-3.55816899999991,-9.13352600000007,-3.55816899999991,-9.13352600000007
"109",1958,2705.060185,2701.450447,2695.816918,2701.450447,2695.816918,0,-3.60973799999965,-9.24326699999983,-3.60973799999965,-9.24326699999983
"110",1959,2705.107532,2701.448207,2695.742286,2701.448207,2695.742286,0,-3.65932500000008,-9.36524599999984,-3.65932500000008,-9.36524599999984
"111",1960,2705.138241,2701.424606,2695.642094,2701.424606,2695.642094,0,-3.71363500000007,-9.49614700000029,-3.71363500000007,-9.49614700000029
"112",1961,2705.110797,2701.341964,2695.494537,2701.341964,2695.494537,0,-3.76883299999963,-9.61625999999978,-3.76883299999963,-9.61625999999978
"113",1962,2705.235677,2701.41085,2695.479947,2701.41085,2695.479947,0,-3.82482699999991,-9.75573000000031,-3.82482699999991,-9.75573000000031
"114",1963,2705.249055,2701.369039,2695.368413,2701.369039,2695.368413,0,-3.88001600000007,-9.88064200000008,-3.88001600000007,-9.88064200000008
